drug_id,target_id,label
0,8229,1
1,8215,1
1,8048,1
1,8230,1
1,8342,1
1,8343,1
1,8344,1
1,8722,1
1,8790,1
1,9149,1
1,9150,1
1,9927,1
1,9928,1
2,8300,1
2,9264,1
2,9917,1
3,8292,1
3,9482,1
3,9149,1
3,8722,1
3,9150,1
3,9927,1
3,9928,1
3,8291,1
3,8048,1
3,8790,1
3,8230,1
3,8342,1
3,8343,1
3,8344,1
4,8229,1
4,8513,1
5,9881,1
5,8726,1
6,10318,1
6,9370,1
6,8516,1
7,8235,1
7,8335,1
7,10959,1
7,8505,1
8,10940,1
9,10318,1
9,9370,1
10,9435,1
11,8235,1
11,10959,1
11,8237,1
11,8238,1
11,8505,1
11,8504,1
11,8508,1
11,10820,1
11,12602,1
11,9244,1
12,9588,1
12,9881,1
13,8235,1
13,8335,1
13,10959,1
13,8505,1
14,9435,1
15,9882,1
16,9370,1
16,10318,1
17,12063,1
17,8699,1
18,9300,1
18,9730,1
18,9952,1
18,9977,1
18,9211,1
19,9370,1
19,10318,1
19,8516,1
19,9058,1
19,9127,1
20,8533,1
21,9350,1
22,8233,1
22,8232,1
22,8449,1
22,7859,1
22,8632,1
22,9083,1
22,9751,1
22,9754,1
22,10340,1
22,11030,1
22,11853,1
22,8229,1
22,8426,1
23,9261,1
24,8689,1
25,9149,1
25,11938,1
25,9150,1
25,9927,1
25,9928,1
25,8722,1
25,8048,1
25,8273,1
25,8994,1
25,8995,1
25,8274,1
26,8235,1
26,8335,1
26,10959,1
26,8505,1
27,8558,1
27,8680,1
27,8566,1
27,9256,1
27,9352,1
27,9363,1
27,9795,1
28,8235,1
28,8335,1
28,10959,1
28,8505,1
28,8504,1
28,8532,1
28,8541,1
28,8637,1
28,9751,1
28,9754,1
28,11030,1
29,9634,1
29,9588,1
30,9289,1
30,10092,1
31,9370,1
31,10318,1
32,9857,1
32,10077,1
32,10287,1
32,9600,1
32,10005,1
33,8233,1
33,8547,1
33,9061,1
33,10091,1
33,8733,1
33,9210,1
34,11161,1
35,9534,1
35,7853,1
35,9106,1
35,9567,1
35,9573,1
35,10819,1
36,10282,1
36,8151,1
36,10204,1
37,9264,1
37,8300,1
37,9917,1
37,10005,1
37,10278,1
37,8726,1
37,10290,1
37,8518,1
38,10654,1
38,9625,1
38,11838,1
39,9151,1
39,10910,1
40,9588,1
41,8007,1
42,8558,1
42,8680,1
43,8558,1
43,8680,1
44,8324,1
44,8325,1
44,8326,1
44,8682,1
45,9881,1
45,9588,1
46,8292,1
47,9077,1
47,9349,1
48,8498,1
48,8711,1
48,8048,1
48,8230,1
48,8342,1
48,8343,1
48,8344,1
48,8722,1
48,8790,1
48,9149,1
48,9150,1
48,9927,1
48,9928,1
48,8417,1
49,8200,1
49,9145,1
49,8505,1
49,8627,1
49,8628,1
49,8199,1
49,8229,1
49,8357,1
49,8508,1
49,9997,1
49,10091,1
49,12490,1
50,9474,1
50,8048,1
50,8230,1
50,8342,1
50,8343,1
50,8344,1
50,8722,1
50,8790,1
50,9149,1
50,9150,1
50,9927,1
50,9928,1
51,8699,1
52,8533,1
53,9370,1
53,10318,1
54,10652,1
55,8498,1
56,8292,1
57,9634,1
58,9857,1
58,10077,1
58,10287,1
58,11954,1
59,9370,1
59,10318,1
60,9370,1
60,10318,1
61,8283,1
61,8353,1
62,8558,1
62,8680,1
62,9256,1
62,8320,1
62,8321,1
62,8566,1
62,8636,1
62,9363,1
62,9352,1
62,9795,1
62,10329,1
62,10820,1
62,11237,1
62,11994,1
63,8467,1
63,8215,1
63,8230,1
63,8342,1
63,8343,1
63,8344,1
63,8790,1
63,9149,1
63,9150,1
63,9927,1
63,9928,1
63,8048,1
63,8722,1
63,9120,1
64,9134,1
65,8300,1
65,9264,1
65,9149,1
65,8722,1
65,9150,1
65,9927,1
65,9928,1
65,8048,1
65,8790,1
65,8230,1
65,8342,1
65,8343,1
65,8344,1
66,8445,1
66,8662,1
66,8785,1
66,9506,1
66,8048,1
66,8230,1
66,8342,1
66,8343,1
66,8344,1
66,8722,1
66,8790,1
66,9149,1
66,9150,1
66,9927,1
66,9928,1
67,9134,1
67,8048,1
67,8230,1
67,8342,1
67,8343,1
67,8344,1
67,8722,1
67,8790,1
67,9149,1
67,9150,1
67,9927,1
67,9928,1
68,9134,1
68,8048,1
68,8230,1
68,8342,1
68,8343,1
68,8344,1
68,8722,1
68,9149,1
68,9150,1
68,9927,1
68,9928,1
69,9077,1
69,10937,1
69,9281,1
69,9960,1
69,8726,1
69,8561,1
69,9961,1
69,10953,1
70,10582,1
70,10640,1
71,8235,1
71,9676,1
71,10278,1
72,9902,1
72,8048,1
72,8230,1
72,8342,1
72,8343,1
72,8344,1
72,8722,1
72,9149,1
72,9150,1
72,9927,1
72,9928,1
73,10969,1
74,10332,1
74,12030,1
74,10650,1
74,9853,1
74,9655,1
74,9499,1
74,8726,1
74,9961,1
74,9057,1
74,9127,1
74,9058,1
74,8689,1
74,7903,1
74,8131,1
74,10260,1
74,11072,1
74,11178,1
74,11363,1
74,11491,1
74,11954,1
74,12492,1
74,12623,1
74,12292,1
75,8586,1
75,8230,1
75,8342,1
75,8343,1
75,8344,1
75,8722,1
75,9149,1
75,9150,1
75,9927,1
75,9928,1
75,8048,1
76,10077,1
77,9634,1
78,9493,1
78,8048,1
78,8230,1
78,8342,1
78,8343,1
78,8344,1
78,8722,1
78,9149,1
78,9150,1
78,9927,1
78,9928,1
79,9588,1
79,9634,1
80,8551,1
80,11978,1
80,9493,1
80,10160,1
80,9927,1
80,8307,1
80,8535,1
80,8597,1
80,8498,1
81,12063,1
81,8699,1
82,8233,1
82,8411,1
82,8733,1
82,8200,1
82,8229,1
82,11030,1
82,10091,1
83,8781,1
83,9339,1
83,8272,1
84,9875,1
84,10003,1
84,9876,1
84,8513,1
84,8726,1
85,10318,1
85,9370,1
85,8516,1
86,9881,1
87,9866,1
87,8285,1
87,10304,1
88,9195,1
88,8048,1
88,8230,1
88,8342,1
88,8343,1
88,8344,1
88,8722,1
88,9149,1
88,9150,1
88,9927,1
88,9928,1
88,8527,1
89,11394,1
89,9961,1
89,8518,1
90,9215,1
90,8048,1
90,8230,1
90,8342,1
90,8343,1
90,8344,1
90,8722,1
90,9149,1
90,9150,1
90,9927,1
90,9928,1
91,8300,1
91,9264,1
91,8048,1
91,8230,1
91,8342,1
91,8343,1
91,8344,1
91,8722,1
91,9149,1
91,9150,1
91,9927,1
91,9928,1
92,9307,1
92,8048,1
92,8230,1
92,8342,1
92,8343,1
92,8344,1
92,8722,1
92,9149,1
92,9150,1
92,9927,1
92,9928,1
93,9206,1
94,12141,1
94,12065,1
94,10016,1
94,11270,1
94,9978,1
94,12615,1
94,9369,1
94,8439,1
94,9136,1
94,11833,1
94,10756,1
94,12329,1
94,8136,1
94,9393,1
94,11277,1
94,11812,1
94,8592,1
94,7890,1
94,12604,1
94,9433,1
94,11987,1
94,9473,1
94,8066,1
94,9612,1
94,9647,1
94,12606,1
94,9182,1
94,9523,1
94,12010,1
94,7889,1
94,9953,1
94,10505,1
94,7896,1
94,8112,1
94,8157,1
94,8209,1
94,9094,1
94,9095,1
94,9494,1
94,11312,1
94,11391,1
94,11440,1
94,11442,1
94,11444,1
94,11448,1
94,11497,1
94,11524,1
94,11539,1
94,11558,1
94,11562,1
94,12017,1
94,11557,1
94,11797,1
94,11798,1
94,9979,1
94,9571,1
94,11883,1
94,12002,1
94,12009,1
94,12022,1
94,12128,1
94,12168,1
94,12235,1
94,12327,1
94,12427,1
94,12456,1
95,12084,1
95,9545,1
95,12408,1
95,11799,1
95,12593,1
95,10188,1
95,12003,1
95,10989,1
95,12132,1
95,9470,1
95,9471,1
95,9739,1
95,8000,1
95,10820,1
95,9966,1
96,9122,1
96,9225,1
96,10325,1
96,8082,1
96,12084,1
96,8157,1
96,9920,1
96,9978,1
96,9979,1
96,10188,1
96,11391,1
96,11999,1
96,11954,1
97,9433,1
97,9140,1
97,12078,1
97,10173,1
97,11892,1
98,11169,1
98,9392,1
98,9894,1
98,10016,1
98,10891,1
98,9542,1
98,11826,1
98,12226,1
98,8518,1
98,9449,1
99,7900,1
99,10039,1
99,12141,1
99,7894,1
99,9867,1
99,7899,1
99,8011,1
99,9093,1
99,9248,1
99,10756,1
99,7893,1
99,8155,1
99,10492,1
99,9118,1
99,8011,1
99,10492,1
99,11892,1
99,11963,1
99,7900,1
100,9393,1
100,12438,1
100,12569,1
100,8197,1
100,8132,1
100,12321,1
100,8619,1
100,11892,1
101,8515,1
101,10400,1
101,12571,1
101,12230,1
101,7819,1
101,12052,1
101,9118,1
101,8514,1
101,11076,1
101,11265,1
102,12595,1
102,9557,1
102,10354,1
102,7866,1
102,8561,1
102,11101,1
102,11877,1
102,10048,1
102,12621,1
102,12564,1
102,9774,1
102,10030,1
102,11842,1
102,7886,1
102,7887,1
102,8073,1
102,8093,1
102,12173,1
102,11909,1
102,11392,1
102,11806,1
102,11829,1
102,12171,1
103,9872,1
103,7952,1
103,11917,1
103,10460,1
103,11183,1
103,11892,1
103,12173,1
104,9815,1
104,11917,1
104,11987,1
104,8460,1
104,9996,1
104,9872,1
104,10739,1
104,7952,1
104,8266,1
104,8093,1
104,11892,1
104,12173,1
105,8788,1
105,11403,1
105,9648,1
105,7812,1
105,7859,1
105,8006,1
105,8088,1
105,8758,1
105,9427,1
105,9204,1
105,11315,1
105,11530,1
105,11531,1
105,11801,1
105,11802,1
105,11830,1
105,12025,1
105,12042,1
105,12137,1
105,12169,1
105,12439,1
105,10948,1
105,12206,1
105,12328,1
105,12336,1
105,12439,1
106,10469,1
106,12330,1
106,9136,1
106,10145,1
106,8717,1
106,8652,1
106,10290,1
106,9528,1
106,12004,1
106,12173,1
106,7887,1
107,8678,1
107,10603,1
107,12452,1
107,9369,1
107,10238,1
107,8697,1
107,8266,1
107,10955,1
107,8209,1
107,9268,1
107,8071,1
107,11064,1
107,9552,1
107,9750,1
107,9859,1
107,10192,1
107,11312,1
107,11494,1
107,11543,1
107,11617,1
107,11823,1
107,12016,1
107,11892,1
108,8439,1
108,8202,1
108,8492,1
108,10498,1
108,10460,1
108,12131,1
108,7952,1
108,9872,1
108,10739,1
108,12607,1
108,11917,1
108,8124,1
108,10392,1
108,12483,1
109,9397,1
109,11000,1
109,9281,1
109,8204,1
109,8113,1
109,12444,1
109,9543,1
109,7966,1
109,8156,1
109,9582,1
109,10337,1
109,11035,1
109,12038,1
109,10380,1
109,8697,1
109,11277,1
109,7874,1
109,8080,1
109,8111,1
109,9750,1
109,10285,1
109,11522,1
109,11892,1
109,12078,1
109,11219,1
109,12438,1
110,9337,1
110,9102,1
110,11019,1
110,8592,1
110,12590,1
110,10369,1
110,11047,1
110,12325,1
110,12301,1
110,11079,1
110,7980,1
110,11051,1
110,9956,1
110,8772,1
110,10530,1
110,9597,1
110,8661,1
111,7997,1
111,8152,1
111,9945,1
111,11845,1
111,12167,1
111,11028,1
111,12049,1
111,10956,1
111,10075,1
111,9455,1
111,7911,1
112,10016,1
112,9473,1
112,12168,1
112,7890,1
112,7889,1
112,10357,1
112,9523,1
112,11892,1
113,12408,1
113,12084,1
113,10394,1
113,11965,1
113,12189,1
113,9281,1
113,10188,1
113,9894,1
113,12585,1
113,10891,1
113,12360,1
113,12449,1
113,10542,1
113,12014,1
113,12358,1
113,11892,1
114,8619,1
114,12583,1
114,10501,1
114,9393,1
114,10039,1
114,11892,1
115,9114,1
115,9898,1
115,11032,1
115,8726,1
115,8355,1
116,8353,1
117,12495,1
117,8027,1
117,10766,1
117,11026,1
117,11892,1
118,12080,1
118,12129,1
118,12138,1
118,12328,1
118,12373,1
118,12416,1
118,9887,1
118,7849,1
118,11912,1
118,11085,1
118,12146,1
118,12019,1
118,7834,1
118,7906,1
118,8006,1
118,8088,1
118,9204,1
118,9538,1
118,10428,1
118,10481,1
118,10537,1
118,10948,1
118,11064,1
118,11315,1
118,11801,1
118,11802,1
118,11874,1
119,11981,1
119,8981,1
119,9840,1
119,9514,1
119,10188,1
119,11363,1
120,8002,1
120,8003,1
120,8025,1
120,12450,1
120,12458,1
120,10514,1
120,10425,1
120,9292,1
121,11092,1
121,11173,1
121,11233,1
121,11242,1
121,11171,1
121,7799,1
121,7808,1
121,7860,1
121,7874,1
121,7896,1
121,7898,1
121,7959,1
121,7996,1
121,8080,1
121,8113,1
121,8209,1
121,8666,1
121,8697,1
121,9281,1
121,9369,1
121,9393,1
121,9647,1
121,10091,1
121,10190,1
121,10191,1
121,10192,1
121,10313,1
121,10323,1
121,10353,1
121,10380,1
121,10505,1
121,10756,1
121,10988,1
121,10993,1
121,11018,1
121,11070,1
121,11088,1
121,11177,1
121,11312,1
121,11449,1
121,11495,1
121,11522,1
121,11558,1
121,11824,1
121,11833,1
121,11879,1
121,11883,1
121,12178,1
121,12209,1
121,12417,1
121,12444,1
121,12471,1
121,12474,1
121,12495,1
121,12608,1
121,12606,1
121,8186,1
121,10102,1
121,10164,1
121,10314,1
121,10969,1
121,10982,1
121,12065,1
121,8157,1
121,10165,1
121,10166,1
121,10297,1
121,10518,1
121,11074,1
121,11075,1
121,11892,1
